,Screen_Name,Stock_Names,Num_Tweets,Tweet_Days,Corr_1d,Accuracy_1d,Corr_10d,Accuracy_10d,Corr_30d,Accuracy_30d
10,@jimcramer,fb,28,4,,1.0,0.5773502691896257,0.75,0.5773502691896257,0.75
110,@hmeisler,fb,4,4,-1.0,0.25,,0.5,,0.75
265,@denicomc,fb,5,5,-0.6123724356957945,0.6,0.6123724356957944,0.8,0.5,0.6666666666666666
25,@CramersShirt,fb,9,8,0.2927700218845599,0.875,-0.2581988897471611,0.375,0.2581988897471611,0.625
115,@jennablan,fb,8,8,-0.7745966692414833,0.5,-0.9999999999999999,0.0,0.37796447300922714,0.625
135,@RampCapitalLLC,fb,17,5,0.16666666666666669,0.6,-0.4082482904638631,0.4,0.408248290463863,0.6
20,@TDANetwork,fb,78,59,-0.15189883475105628,0.5254237288135594,-0.06791643585834789,0.4576271186440678,0.18090680674665807,0.5789473684210527
75,@MylesUdland,fb,14,11,-0.2666666666666667,0.45454545454545453,-0.408248290463863,0.3,0.05976143046671971,0.5555555555555556
100,@trevornoren,fb,102,72,0.07401009824058695,0.5277777777777778,-0.06975029703385768,0.4722222222222222,0.05829614444595783,0.5352112676056338
70,@David_Kretzmann,fb,24,19,0.4719399037242693,0.47368421052631576,-0.26756477550475327,0.42105263157894735,-0.14886628953921088,0.5263157894736842
81,@ReformedBroker,aapl,23,4,1.0,0.5,,0.5,,1.0
121,@MarkYusko,aapl,34,6,1.0,0.3333333333333333,,0.6666666666666666,,1.0
126,@awealthofcs,aapl,8,6,0.6324555320336759,0.8333333333333334,,0.8333333333333334,1.0,1.0
46,@michaelbatnick,aapl,8,5,0.408248290463863,0.6,1.0,1.0,0.6123724356957942,0.8
141,@EricBalchunas,aapl,27,5,0.6123724356957945,0.4,-0.24999999999999994,0.6,0.6123724356957944,0.8
226,@TheBubbleBubble,aapl,7,5,0.6666666666666666,0.4,-0.24999999999999994,0.6,0.6123724356957944,0.8
11,@jimcramer,aapl,180,4,0.5773502691896257,0.5,-0.5773502691896257,0.25,,0.75
66,@traderstewie,aapl,42,8,0.0,0.5,0.4999999999999999,0.75,0.5773502691896257,0.75
56,@michaelsantoli,aapl,30,11,0.46666666666666673,0.5454545454545454,0.08333333333333331,0.6363636363636364,0.24056261216234417,0.7272727272727273
36,@charliebilello,aapl,43,12,0.5070925528371099,0.5,-0.4879500364742666,0.3333333333333333,-0.17407765595569785,0.6666666666666666
47,@michaelbatnick,amzn,15,6,0.9999999999999998,0.5,,0.6666666666666666,,1.0
152,@justinaknope,amzn,5,5,,0.0,0.16666666666666674,0.6,1.0,1.0
162,@johnauthers,amzn,10,4,,1.0,-0.3333333333333333,0.5,0.9999999999999998,1.0
127,@awealthofcs,amzn,19,9,-0.15811388300841897,0.6666666666666666,-0.15811388300841897,0.4444444444444444,0.7905694150420948,0.8888888888888888
67,@traderstewie,amzn,12,6,,0.0,0.2500000000000001,0.6666666666666666,0.6324555320336761,0.8333333333333334
62,@DougKass,amzn,6,5,0.6123724356957946,0.6,-0.25,0.6,,0.8
12,@jimcramer,amzn,31,4,,0.75,0.3333333333333333,0.5,,0.75
37,@charliebilello,amzn,13,8,0.7453559924999299,0.75,-0.21821789023599236,0.625,0.4879500364742665,0.75
187,@TheStalwart,amzn,9,4,0.5773502691896257,0.5,0.3333333333333333,0.5,,0.75
27,@CramersShirt,amzn,26,18,0.20385887657505009,0.6111111111111112,0.40291148201269017,0.7222222222222222,0.40291148201269017,0.7222222222222222
38,@charliebilello,nflx,28,8,0.7745966692414833,0.5,-0.37796447300922714,0.375,,0.875
48,@michaelbatnick,nflx,8,4,0.5773502691896257,0.75,-1.0,0.0,,0.75
83,@ReformedBroker,nflx,32,4,0.5773502691896257,0.5,0.5773502691896257,0.75,,0.75
113,@hmeisler,nflx,6,4,,0.75,,0.75,,0.75
133,@SamRo,nflx,13,7,0.2999999999999999,0.2857142857142857,-0.3999999999999999,0.42857142857142855,,0.7142857142857143
138,@RampCapitalLLC,nflx,23,7,0.2999999999999999,0.7142857142857143,-0.2581988897471611,0.5714285714285714,,0.7142857142857143
78,@MylesUdland,nflx,13,10,0.3563483225498993,0.7,-0.08908708063747474,0.5,,0.7
18,@Stocktwits,nflx,31,11,0.2666666666666669,0.5454545454545454,0.3105295017040595,0.6363636363636364,,0.6363636363636364
93,@VXX46,nflx,11,8,0.5999999999999999,0.375,0.14907119849998599,0.625,-0.2182178902359924,0.625
108,@RitholtzWealth,nflx,22,21,-0.05504818825631803,0.5714285714285714,-0.05504818825631803,0.47619047619047616,0.21821789023599242,0.6
219,@TFMkts,googl,5,4,0.5773502691896257,0.25,1.0,1.0,1.0,1.0
94,@VXX46,googl,10,6,-0.31622776601683805,0.8333333333333334,0.7071067811865476,0.8333333333333334,0.6123724356957942,0.8
204,@LizAnnSonders,googl,10,7,0.3999999999999999,0.7142857142857143,0.5,0.6666666666666666,0.6123724356957946,0.8
154,@justinaknope,googl,4,4,,0.0,-0.5773502691896257,0.25,0.5773502691896257,0.75
19,@Stocktwits,googl,7,6,,0.5,0.7071067811865476,0.8333333333333334,0.4472135954999579,0.6666666666666666
59,@michaelsantoli,googl,8,6,0.7071067811865476,0.6666666666666666,0.6324555320336759,0.8333333333333334,-0.19999999999999998,0.6666666666666666
74,@David_Kretzmann,googl,6,6,0.25000000000000006,0.3333333333333333,0.0,0.5,0.5,0.6666666666666666
184,@RaoulGMI,googl,14,11,-0.149071198499986,0.09090909090909091,0.24056261216234417,0.7272727272727273,-0.1936491673103708,0.6363636363636364
39,@charliebilello,googl,6,5,0.408248290463863,0.6,,0.6,,0.6
109,@RitholtzWealth,googl,25,24,0.13093073414159542,0.5833333333333334,0.49660854465066,0.75,0.14607663686703595,0.5652173913043478
